group,renderer,role,mode,label,source,exe_sha256,status,runner_exit_code,suite_status,selected_for_comparison,reason
game_load,vulkan,baseline,isolated-target,target-22,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-22,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-23,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-23,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-24,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-24,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
game_load,vulkan,baseline,isolated-target,target-25,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
game_load,vulkan,candidate,isolated-target,target-25,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
high_vertex_count,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
high_vertex_count,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
pfifo_array_elements,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
pfifo_array_elements,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
pipeline_texture_switch,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
pipeline_texture_switch,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
primitive_type,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
primitive_type,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
report_query,vulkan,candidate,group,group,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,False,
report_query,vulkan,baseline,group,group,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,N/A,1,FAILED,False,N/A: guest benchmark reported FAIL
report_query,vulkan,candidate,isolated-target,target-0,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
report_query,vulkan,baseline,isolated-target,target-0,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
report_query,vulkan,candidate,isolated-target,target-1,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
report_query,vulkan,baseline,isolated-target,target-1,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
report_query,vulkan,candidate,isolated-target,target-2,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
report_query,vulkan,baseline,isolated-target,target-2,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,N/A,1,FAILED,True,N/A: guest benchmark reported FAIL
report_query,vulkan,candidate,isolated-target,target-3,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
report_query,vulkan,baseline,isolated-target,target-3,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,N/A,1,FAILED,True,N/A: guest benchmark reported FAIL
report_query,vulkan,candidate,isolated-target,target-4,2af783f2a49774fd7477f6f1124916418390f259,c82380034a6e5a134cf1f0c20f76cbb8db3bef813cd55a29324ea07112de18c9,PASS,0,PASSED,True,
report_query,vulkan,baseline,isolated-target,target-4,fdfb5a8f481b2f870c57080e74ec8d3a31a47053,2be4252b8e08cf0459c5de760fac35b9078761e5d75339ce64b7a071026fbbe1,PASS,0,PASSED,True,
