"branch_id","backend","variant","test_id","kind","name","outcome","runs","mean_total_us","mean_average_us","mean_median_us","mean_p95_us"
"pr24-frozen-s-opengl-1945","opengl","release","busy_pfifo.pfifo_saturation","leaf","BusyPfifo::PFIFOSaturation","PASS","2","680313","68030.5","68215","69923.5"
"pr24-frozen-s-opengl-1945","opengl","release","busy_pfifo.pgraph_pattern_polling","leaf","BusyPfifo::PgraphPatternPolling","PASS","2","4570900","4570900","4570900","4570900"
"pr24-frozen-s-opengl-1945","opengl","release","cpu_floating_point.sse_scalar","leaf","CpuFloatingPoint::SSEScalar","PASS","2","5003190.5","500318.5","500239.5","507453"
"pr24-frozen-s-opengl-1945","opengl","release","cpu_floating_point.x87_scalar","leaf","CpuFloatingPoint::X87Scalar","PASS","2","7493403","749339.5","749161.5","754187.5"
"pr24-frozen-s-opengl-1945","opengl","release","cpu_translation_blocks.direct_loop","leaf","CpuTranslationBlocks::DirectLoop","PASS","2","100315","10031","9978","10364"
"pr24-frozen-s-opengl-1945","opengl","release","cpu_translation_blocks.indirect_dispatch","leaf","CpuTranslationBlocks::IndirectDispatch","PASS","2","247316.5","24731.5","24730","25239"
"pr24-frozen-s-opengl-1945","opengl","release","cpu_translation_blocks.indirect_dispatch_stress","leaf","CpuTranslationBlocks::IndirectDispatchStress","PASS","2","4929128","492912.5","492465.5","500937.5"
"pr24-frozen-s-opengl-1945","opengl","release","fill_rate.solid","leaf","FillRate::FillRate-Solid","PASS","2","14451.5","1444.5","1242","2480.5"
"pr24-frozen-s-opengl-1945","opengl","release","fill_rate.textured","leaf","FillRate::FillRate-Textured","PASS","2","15210","1521","1317","2596"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath","group","GameLoadComposite::09-CrossTitleHotpath","PASS","2","0","0","0","0"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath.blend_constant_reuse","leaf","GameLoadComposite::09-CrossTitleHotpath-06-BlendConstantReuse","PASS","2","758307","94788","98824","100720"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath.gpu_wait_control","leaf","GameLoadComposite::09-CrossTitleHotpath-11-GpuWaitControl","PASS","2","18850","2356","2352.5","2931.5"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath.pgr2_lagspot_inline_elements","leaf","GameLoadComposite::09-CrossTitleHotpath-08-Pgr2LagspotInlineElements","PASS","2","669265","83657.5","83599.5","89236.5"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath.pgr2_small_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-02-Pgr2SmallDraws","PASS","2","801154","100144","97115","111265.5"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath.pipeline_state_churn","leaf","GameLoadComposite::09-CrossTitleHotpath-05-PipelineStateChurn","PASS","2","404463","50557.5","50085.5","55612.5"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath.queued_vertex_cpu_writes","leaf","GameLoadComposite::09-CrossTitleHotpath-01-QueuedVertexCpuWrites","PASS","2","407695","50961.5","50227.5","57711.5"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath.s3tc_streaming_fenced_draws","leaf","GameLoadComposite::09-CrossTitleHotpath-10-S3tcStreamingFencedDraws","PASS","2","70056786.5","8757098","8763466.5","8807864.5"
"pr24-frozen-s-opengl-1945","opengl","release","game_load.cross_title_hotpath.scaled_surface_pressure","leaf","GameLoadComposite::09-CrossTitleHotpath-09-ScaledSurfacePressure","PASS","2","1872983.5","234122.5","233521.5","246663.5"
